[0820/180140.535:ERROR:gles2_command_buffer_stub.cc(226)] ContextResult::kFatalFailure: Failed to create surface.
[0820/180140.551:ERROR:gpu_process_transport_factory.cc(1029)] Lost UI shared context.
[0906/203005.832:INFO:CONSOLE(80)] "Mixed Content: The page at 'https://www.bcscertus.com/errorpage.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/errorpage.aspx?c=36 (80)
[0906/205425.284:INFO:CONSOLE(93)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/workflow.aspx?c=36 (93)
[0906/210407.714:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210407.906:INFO:CONSOLE(1)] ":track:checked:16", source: about:blank (1)
[0906/210407.908:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210420.691:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210423.920:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210450.330:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210455.698:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210458.807:INFO:CONSOLE(1)] ":track:checked:80", source: about:blank (1)
[0906/210458.807:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210528.881:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210540.268:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210604.265:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210617.107:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210620.290:INFO:CONSOLE(1)] ":track:checked:94", source: about:blank (1)
[0906/210620.290:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210641.558:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210653.199:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210822.246:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/210834.475:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/210837.621:INFO:CONSOLE(1)] ":track:checked:68", source: about:blank (1)
[0906/210837.648:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
